,box_office,genre,imdb_rating,imdb_votes,title,metascore,year,language,country
0,,Drama Mystery Thriller,7.1,21534,First Reformed,85.0,2017,English,USA UK Australia
1,,Animation Action Adventure Comedy Family Sci-Fi,8.7,43599,Spider-Man: Into the Spider-Verse,87.0,2018,English Spanish,USA
2,,Biography Drama History,7.5,66076,First Man,84.0,2018,English,USA Japan
3,,Drama Music Romance,8.1,118052,A Star Is Born,88.0,2018,English,USA
4,,Drama,8.2,30951,Roma,96.0,2018,Spanish English Norwegian Japanese,Mexico USA
5,29581355,Horror Mystery Thriller,5.7,38310,Insidious: The Last Key,49.0,2018,English,Canada USA
6,,Drama Thriller,5.0,1806,The Strange Ones,57.0,2017,English,USA
7,,Action Thriller,4.8,3129,Stratton,26.0,2017,English,UK
8,,Adventure Crime Drama History Thriller,6.9,4804,Sweet Country,87.0,2017,English Aboriginal,Australia
9,36241300,Action Crime Drama Mystery Thriller,6.3,70930,The Commuter,56.0,2018,English Spanish,France USA
10,,Action Crime Thriller,4.9,5801,Proud Mary,35.0,2018,English Russian,USA
11,,Action Crime,5.2,6543,Acts of Violence,28.0,2018,English,Canada
12,,Comedy Drama,6.3,1632,Freak Show,54.0,2017,English,USA
13,,Comedy,5.9,476,Humor Me,53.0,2017,English,USA
14,,Adventure Drama,6.2,364,Vazante,68.0,2017,Portuguese,Brazil Portugal
15,,Animation Adventure Family Fantasy,6.8,7096,Mary and the Witch's Flower,75.0,2017,Japanese,Japan
16,,Action Drama History War,6.6,43769,12 Strong,54.0,2018,English Dari Russian Spanish Uzbek,USA
17,44680327,Action Crime Drama Mystery Thriller,7.0,61041,Den of Thieves,49.0,2018,English Polynesian,USA
18,16174498,Drama Music Romance,6.7,7975,Forever My Girl,36.0,2018,English,USA
19,57074211,Action Sci-Fi Thriller,6.3,80778,Maze Runner: The Death Cure,51.0,2018,English,USA
20,,Drama Thriller,7.7,9736,The Insult,72.0,2017,Arabic,France Cyprus Belgium Lebanon USA
21,,Comedy Drama,6.7,7317,Please Stand By,49.0,2017,English Klingon,USA
22,24553838,Biography Fantasy Horror Mystery Thriller,5.4,21245,Winchester,28.0,2018,English,Australia USA
23,806746,Drama,7.2,15898,A Fantastic Woman,86.0,2017,Spanish,Chile Germany Spain USA
24,,Action Thriller,3.2,276,Armed,,2018,English,USA
25,,Horror Mystery Sci-Fi Thriller,5.6,76867,The Cloverfield Paradox,37.0,2018,English Mandarin,USA
26,35003216,Biography Drama,5.2,19128,The 15:17 to Paris,45.0,2018,English French Arabic German Dutch,USA
27,95599460,Drama Romance Thriller,4.5,39641,Fifty Shades Freed,31.0,2018,English,USA
28,84060376,Animation Adventure Comedy Family Fantasy,6.6,24726,Peter Rabbit,51.0,2018,English,USA Australia
29,2675608,Comedy Romance,4.6,462,La Boda de Valentina,,2018,Spanish English,Mexico
30,,Action Drama,,,Kri,,2018,Nepali,Nepal
31,,Comedy Drama Romance,5.3,2499,Permission,62.0,2017,English,USA Canada
32,,Animation Comedy Family Horror,4.7,2798,Monster Family,,2017,English German,Germany UK
33,,Drama,5.8,1324,Golden Exits,71.0,2017,English,USA
34,501105037,Action Adventure Sci-Fi,7.4,430289,Black Panther,88.0,2018,Swahili Nama English Xhosa Korean,USA South Africa South Korea Australia
35,,Animation Adventure Comedy Family Fantasy Sport,6.1,14111,Early Man,68.0,2018,English,USA UK France
36,,Drama,7.7,21365,Loveless,86.0,2017,Russian,Russia France Germany Belgium USA
37,,Comedy,7.6,34201,The Party,,1968,English Italian Russian French Chinese,USA
38,5233,Drama,8.1,18135,Nostalgia,,1983,Italian Russian,Italy Soviet Union
39,,Action Drama,6.9,4856,Black '47,65.0,2018,English Irish,Ireland Luxembourg
40,4436089,Action Drama,4.3,2777,Samson,17.0,2018,English,South Africa USA
41,33537766,Action Comedy Crime Mystery,7.0,141032,Game Night,66.0,2018,English,USA
42,20636742,Adventure Drama Horror Mystery Sci-Fi Thriller,6.9,198742,Annihilation,79.0,2018,English,UK USA
43,5260834,Drama Fantasy Romance,6.4,10807,Every Day,52.0,2018,English,USA
44,,Drama Horror Romance Thriller,5.1,5654,The Lodgers,52.0,2017,English,Ireland
45,,Drama Horror Sci-Fi,5.5,4276,The Cured,57.0,2017,English,Ireland France
46,17000000,Action Drama Thriller,6.6,120994,Red Sparrow,53.0,2018,English Russian,USA
47,,Action Crime Drama Mystery Thriller,6.0,602,Pickings,,2018,English,USA
48,13025000,Action Crime Drama Thriller,6.4,42675,Death Wish,31.0,2018,English,USA
49,36786,Drama,7.4,3759,Foxtrot,90.0,2017,Hebrew,Israel Switzerland Germany France
